               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099191,            0.048501,            0.026178,             0.16912,             0.35987,             0.14215,            0.027241,            0.072686,            0.036301,            0.018814,             0.00299,             0.00299,             0.07309
                   1,             0.07614,            0.038242,            0.018767,             0.34981,              0.4832,             0.27293,            0.054561,            0.066414,            0.028705,           0.0082364,           0.0059887,           0.0059887,            0.046089
                   2,             0.07318,             0.03543,            0.010062,             0.48392,             0.47404,             0.45663,             0.13247,            0.062145,            0.032148,           0.0042352,            0.008982,            0.008982,            0.019082
                   3,            0.067929,            0.036207,           0.0093697,             0.44641,             0.54681,             0.40675,            0.084408,            0.063781,            0.027745,           0.0039733,             0.00998,             0.00998,             0.00998
                   4,             0.05892,            0.033508,            0.005401,             0.56866,             0.63652,             0.55221,             0.14945,            0.060541,            0.025373,           0.0023724,             0.00998,             0.00998,             0.00998
                   5,            0.052747,            0.034481,           0.0052592,             0.63926,              0.7723,             0.67125,             0.20126,            0.047676,            0.028206,           0.0018122,           0.0099645,           0.0099645,           0.0099645
                   6,            0.050934,            0.033123,           0.0039836,             0.85662,             0.75178,             0.79957,             0.30968,            0.043503,            0.027849,           0.0019483,           0.0099446,           0.0099446,           0.0099446
                   7,            0.049464,            0.032425,           0.0038299,             0.83334,             0.81117,              0.8503,             0.30903,            0.047956,            0.027481,           0.0015288,           0.0099203,           0.0099203,           0.0099203
                   8,            0.046817,            0.030866,           0.0031015,             0.76041,             0.72143,             0.72296,             0.25344,             0.04834,            0.029745,           0.0014709,           0.0098916,           0.0098916,           0.0098916
                   9,            0.045853,            0.030699,           0.0032052,             0.78619,             0.79602,             0.78012,              0.3272,            0.042667,            0.029762,           0.0028094,           0.0098586,           0.0098586,           0.0098586
                  10,            0.045414,            0.030707,           0.0030821,             0.72974,             0.71375,             0.69311,             0.27979,            0.045551,            0.029453,           0.0011973,           0.0098213,           0.0098213,           0.0098213
                  11,            0.044442,            0.030648,            0.002758,             0.70427,             0.69089,              0.6582,             0.25776,            0.048105,            0.028868,           0.0014193,           0.0097798,           0.0097798,           0.0097798
                  12,            0.043315,            0.030459,           0.0031653,             0.79213,             0.80282,             0.79338,             0.31544,            0.042265,            0.027139,           0.0019193,            0.009734,            0.009734,            0.009734
                  13,            0.042306,            0.030373,           0.0025435,             0.76801,             0.70856,             0.72846,             0.29928,            0.044942,             0.03151,           0.0014996,            0.009684,            0.009684,            0.009684
                  14,            0.043449,            0.031161,           0.0022488,             0.79632,             0.81332,             0.79096,             0.33278,            0.043368,            0.030398,              0.0014,           0.0096299,           0.0096299,           0.0096299
                  15,            0.041792,            0.029087,           0.0021996,             0.74092,             0.75097,             0.73315,             0.31333,            0.044368,            0.029672,           0.0012064,           0.0095717,           0.0095717,           0.0095717
                  16,             0.04146,            0.031459,           0.0024083,              0.7659,              0.7789,             0.74581,             0.28836,            0.045438,            0.032332,           0.0012081,           0.0095095,           0.0095095,           0.0095095
                  17,            0.040495,            0.028157,           0.0020713,             0.61347,             0.65708,             0.56129,             0.18062,            0.051574,            0.035615,           0.0012858,           0.0094434,           0.0094434,           0.0094434
                  18,            0.041252,            0.030903,           0.0019005,              0.7637,             0.77454,             0.75551,             0.32148,            0.042877,            0.029009,           0.0012222,           0.0093733,           0.0093733,           0.0093733
                  19,            0.040554,            0.028892,           0.0020622,             0.75974,             0.75883,             0.72474,             0.29309,            0.046079,             0.03011,           0.0013626,           0.0092995,           0.0092995,           0.0092995
                  20,            0.040159,            0.030652,           0.0027553,             0.77976,             0.75619,             0.74806,             0.29911,            0.045319,            0.030124,           0.0016046,           0.0092219,           0.0092219,           0.0092219
                  21,            0.039359,             0.02816,            0.002433,             0.78214,             0.73977,             0.73986,             0.32089,            0.044841,            0.031417,           0.0012059,           0.0091406,           0.0091406,           0.0091406
                  22,            0.040308,            0.029313,           0.0019538,             0.75195,             0.75619,             0.72652,             0.29073,            0.045757,            0.030152,           0.0010866,           0.0090557,           0.0090557,           0.0090557
                  23,            0.039286,            0.027925,           0.0019431,             0.79582,             0.81267,             0.80662,             0.34734,            0.040786,            0.027414,           0.0010111,           0.0089673,           0.0089673,           0.0089673
