               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12085,            0.030418,           0.0098426,              0.5738,             0.41529,             0.34165,             0.11491,            0.096556,            0.027339,           0.0048363,             0.00313,             0.00313,             0.07183
                   1,             0.10147,            0.028851,           0.0024764,             0.72826,             0.46759,             0.41332,             0.22016,            0.088525,            0.031256,            0.003203,           0.0062698,           0.0062698,             0.04357
                   2,            0.094151,            0.031103,           0.0021433,             0.78463,             0.47659,             0.41914,             0.26835,            0.079125,            0.033315,           0.0026516,           0.0094091,           0.0094091,            0.015309
                   3,            0.086502,            0.033691,           0.0018276,             0.88048,             0.52958,             0.49785,             0.29767,            0.072598,            0.032249,           0.0021372,           0.0099978,           0.0099978,           0.0099978
                   4,            0.079516,            0.034047,           0.0015872,             0.90063,             0.54325,             0.52991,             0.32553,            0.065732,            0.032129,           0.0020928,           0.0099978,           0.0099978,           0.0099978
                   5,            0.075957,            0.035262,           0.0014173,             0.95861,             0.60471,             0.61307,             0.36445,            0.059971,            0.031886,           0.0017534,           0.0099961,           0.0099961,           0.0099961
                   6,            0.073996,            0.034772,           0.0013352,             0.96483,             0.60446,             0.61169,             0.33414,            0.059621,            0.031882,           0.0016155,           0.0099938,           0.0099938,           0.0099938
                   7,            0.073373,            0.035824,           0.0012808,             0.96496,             0.61228,             0.62551,             0.40046,            0.056053,            0.031544,           0.0016076,           0.0099911,           0.0099911,           0.0099911
                   8,            0.071145,            0.035045,           0.0012693,              0.9644,             0.61523,             0.62537,             0.38111,            0.055121,            0.030875,           0.0015755,           0.0099879,           0.0099879,           0.0099879
                   9,            0.071341,            0.035656,           0.0011867,             0.96899,             0.61156,             0.62131,             0.40069,            0.055786,            0.031206,           0.0014299,           0.0099842,           0.0099842,           0.0099842
                  10,            0.069611,            0.035076,           0.0010748,             0.96746,             0.61087,             0.61846,             0.39234,            0.056196,            0.031383,           0.0015685,             0.00998,             0.00998,             0.00998
                  11,            0.069909,            0.035281,           0.0010456,             0.97218,             0.61791,             0.62892,               0.397,            0.054565,            0.031195,           0.0013094,           0.0099753,           0.0099753,           0.0099753
                  12,            0.068532,            0.034207,           0.0010843,             0.97398,             0.62479,             0.63346,             0.39808,            0.053599,             0.03104,           0.0015372,           0.0099702,           0.0099702,           0.0099702
                  13,            0.068385,            0.034376,           0.0010403,             0.97409,             0.62037,             0.62945,             0.38648,            0.054944,            0.031116,           0.0013986,           0.0099645,           0.0099645,           0.0099645
                  14,             0.06773,            0.035433,          0.00099362,             0.97426,             0.62396,             0.63265,             0.40927,            0.053255,            0.030914,           0.0013066,           0.0099584,           0.0099584,           0.0099584
                  15,            0.067243,            0.034489,           0.0010114,             0.97721,             0.62531,             0.63476,             0.41803,            0.052525,            0.030422,           0.0013411,           0.0099517,           0.0099517,           0.0099517
                  16,            0.065143,            0.032245,          0.00098284,             0.97559,             0.62713,             0.63518,             0.41967,            0.052675,            0.030858,           0.0013271,           0.0099446,           0.0099446,           0.0099446
                  17,            0.067901,            0.036786,          0.00099035,             0.97755,             0.62735,             0.63698,             0.42524,            0.052261,            0.030691,           0.0012421,            0.009937,            0.009937,            0.009937
                  18,            0.065701,            0.034703,           0.0009472,             0.97991,             0.63008,             0.63948,             0.41501,            0.052382,            0.030845,           0.0013407,           0.0099289,           0.0099289,           0.0099289
                  19,            0.066163,             0.03571,          0.00096344,              0.9798,             0.62619,             0.63882,             0.42776,            0.051571,            0.030611,           0.0011653,           0.0099203,           0.0099203,           0.0099203
                  20,            0.065085,            0.034436,           0.0010099,             0.97877,             0.63144,             0.64059,             0.43258,            0.051607,            0.030471,           0.0012158,           0.0099112,           0.0099112,           0.0099112
                  21,            0.066332,            0.035579,          0.00091435,             0.97949,             0.63047,             0.64066,             0.43587,            0.051094,            0.030636,           0.0011254,           0.0099017,           0.0099017,           0.0099017
                  22,            0.066711,             0.03569,          0.00089516,             0.97994,               0.631,             0.64027,             0.43413,            0.051867,            0.030683,           0.0011566,           0.0098916,           0.0098916,           0.0098916
                  23,            0.064186,             0.03305,          0.00088496,             0.97977,             0.62556,             0.63823,             0.43023,             0.05212,            0.030763,           0.0011449,           0.0098811,           0.0098811,           0.0098811
                  24,            0.064672,            0.034141,          0.00089385,             0.98203,              0.6314,             0.64308,             0.42769,            0.051186,            0.030463,           0.0011505,           0.0098701,           0.0098701,           0.0098701
                  25,            0.064723,            0.033807,          0.00091323,             0.98131,             0.63306,             0.64433,             0.43698,            0.051202,            0.030366,           0.0011311,           0.0098586,           0.0098586,           0.0098586
                  26,            0.065793,            0.034846,          0.00090864,             0.98058,             0.63097,             0.64239,             0.43312,            0.051353,            0.030553,           0.0012671,           0.0098467,           0.0098467,           0.0098467
